State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,Dharamshala,Papaya,Other,Medium,12/09/2025,3800,4600,4200
"Himachal Pradesh",Kangra,Kangra,Brinjal,Other,FAQ,12/09/2025,5200,5500,5500
"Himachal Pradesh",Kangra,Kangra,Garlic,Average,FAQ,12/09/2025,9000,10000,9500
"Himachal Pradesh",Kangra,Kangra,Ginger(Green),Other,FAQ,12/09/2025,7500,8000,7700
"Himachal Pradesh",Kangra,Kangra,Onion,Other,FAQ,12/09/2025,2200,2300,2300
"Himachal Pradesh",Kangra,Kangra,Papaya,Other,Medium,12/09/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Kangra,Pineapple,Other,Medium,12/09/2025,4000,4500,4200
"Himachal Pradesh",Kangra,Kangra,Tinda,Other,FAQ,12/09/2025,6500,7000,6700
"Himachal Pradesh",Kangra,Kangra(Baijnath),Banana,"Banana - Ripe",Medium,12/09/2025,3200,3600,3500
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Bitter gourd","Bitter Gourd",FAQ,12/09/2025,5800,6000,6000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Cabbage,Cabbage,FAQ,12/09/2025,2800,3000,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Carrot,Carrot,FAQ,12/09/2025,3000,3000,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Colacasia,Colacasia,FAQ,12/09/2025,3200,3400,3300
"Himachal Pradesh",Kangra,Kangra(Baijnath),Lemon,Lemon,FAQ,12/09/2025,5500,6000,6000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Cabbage,Cabbage,FAQ,12/09/2025,2800,3200,3000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Cucumbar(Kheera),Cucumbar,FAQ,12/09/2025,4500,5000,4700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Papaya,Other,Medium,12/09/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Raddish,Raddish,FAQ,12/09/2025,2500,3000,2700
