Model,MAE,RMSE,R²
Linear Regression,102.62182558877542,179.3256448229212,0.9965127629553845
Random Forest,107.1169385026738,285.06285282951575,0.9911879303436193
XGBoost,113.42608642578125,389.2982669175397,0.9835653305053711
